Species1	gr1	Species2	gr2	sharedGenes	branch	group1	group2	newOrder
Peu	OX	Rcu	OX	11736	0.324705	Xero-Xero	OX-OX	1-2
P.vera	OX	Peu	OX	12016	0.389011	Xero-Xero	OX-OX	1-3
Pco	OX	Peu	OX	10711	0.669146	Xero-Xero	OX-OX	1-4
Peu	OX	Phacu	OX	10469	0.566382	Xero-Xero	OX-OX	1-5
C.arietinum	OX	Peu	OX	11637	0.570765	Xero-Xero	OX-OX	1-6
A.nanus	OX	Peu	OX	12235	0.501911	Xero-Xero	OX-OX	1-7
L.ruth	OX	Peu	OX	11549	0.640926	Xero-Xero	OX-OX	1-8
Peu	OX	jojoba	CX	11236	0.664923	Xero-Xero	OX-CX	1-9
Peu	OX	Pitaya	CX	11296	0.676798	Xero-Xero	OX-CX	1-10
G.przewalskii	CX	Peu	OX	11708	0.747157	Xero-Xero	OX-CX	1-11
F.tataricum	CNX	Peu	OX	11260	0.70731	Xero-NonX	OX-CNX	1-12
D.caryophyllus	CNX	Peu	OX	10280	0.806744	Xero-NonX	OX-CNX	1-13
Peu	OX	Spov	CNX	10360	0.701642	Xero-NonX	OX-CNX	1-14
B.vulgaris	CNX	Peu	OX	11388	0.693746	Xero-NonX	OX-CNX	1-15
P.vera	OX	Rcu	OX	10656	0.396432	Xero-Xero	OX-OX	2-3
Pco	OX	Rcu	OX	11942	0.676567	Xero-Xero	OX-OX	2-4
Phacu	OX	Rcu	OX	10327	0.573803	Xero-Xero	OX-OX	2-5
C.arietinum	OX	Rcu	OX	11447	0.578186	Xero-Xero	OX-OX	2-6
A.nanus	OX	Rcu	OX	12069	0.509332	Xero-Xero	OX-OX	2-7
L.ruth	OX	Rcu	OX	11291	0.648347	Xero-Xero	OX-OX	2-8
Rcu	OX	jojoba	CX	11240	0.672344	Xero-Xero	OX-CX	2-9
Pitaya	CX	Rcu	OX	10749	0.684219	Xero-Xero	OX-CX	2-10
G.przewalskii	CX	Rcu	OX	11464	0.754578	Xero-Xero	OX-CX	2-11
F.tataricum	CNX	Rcu	OX	11059	0.714731	Xero-NonX	OX-CNX	2-12
D.caryophyllus	CNX	Rcu	OX	10027	0.814165	Xero-NonX	OX-CNX	2-13
Rcu	OX	Spov	CNX	11481	0.709063	Xero-NonX	OX-CNX	2-14
B.vulgaris	CNX	Rcu	OX	11265	0.701167	Xero-NonX	OX-CNX	2-15
P.vera	OX	Pco	OX	12386	0.633829	Xero-Xero	OX-OX	3-4
P.vera	OX	Phacu	OX	11561	0.531065	Xero-Xero	OX-OX	3-5
C.arietinum	OX	P.vera	OX	11763	0.535448	Xero-Xero	OX-OX	3-6
A.nanus	OX	P.vera	OX	12353	0.466594	Xero-Xero	OX-OX	3-7
L.ruth	OX	P.vera	OX	11590	0.605609	Xero-Xero	OX-OX	3-8
P.vera	OX	jojoba	CX	10943	0.629606	Xero-Xero	OX-CX	3-9
P.vera	OX	Pitaya	CX	12167	0.641481	Xero-Xero	OX-CX	3-10
G.przewalskii	CX	P.vera	OX	11799	0.71184	Xero-Xero	OX-CX	3-11
F.tataricum	CNX	P.vera	OX	11433	0.671993	Xero-NonX	OX-CNX	3-12
D.caryophyllus	CNX	P.vera	OX	10417	0.771427	Xero-NonX	OX-CNX	3-13
P.vera	OX	Spov	CNX	11065	0.666325	Xero-NonX	OX-CNX	3-14
B.vulgaris	CNX	P.vera	OX	11653	0.658429	Xero-NonX	OX-CNX	3-15
Pco	OX	Phacu	OX	10869	0.782832	Xero-Xero	OX-OX	4-5
C.arietinum	OX	Pco	OX	10749	0.787215	Xero-Xero	OX-OX	4-6
A.nanus	OX	Pco	OX	11195	0.718361	Xero-Xero	OX-OX	4-7
L.ruth	OX	Pco	OX	10585	0.857376	Xero-Xero	OX-OX	4-8
Pco	OX	jojoba	CX	12191	0.881373	Xero-Xero	OX-CX	4-9
Pco	OX	Pitaya	CX	9886	0.893248	Xero-Xero	OX-CX	4-10
G.przewalskii	CX	Pco	OX	10878	0.963607	Xero-Xero	OX-CX	4-11
F.tataricum	CNX	Pco	OX	10585	0.92376	Xero-NonX	OX-CNX	4-12
D.caryophyllus	CNX	Pco	OX	9686	1.023194	Xero-NonX	OX-CNX	4-13
Pco	OX	Spov	CNX	11470	0.918092	Xero-NonX	OX-CNX	4-14
B.vulgaris	CNX	Pco	OX	10746	0.910196	Xero-NonX	OX-CNX	4-15
C.arietinum	OX	Phacu	OX	12026	0.230093	Xero-Xero	OX-OX	5-6
A.nanus	OX	Phacu	OX	12736	0.195421	Xero-Xero	OX-OX	5-7
L.ruth	OX	Phacu	OX	11279	0.716286	Xero-Xero	OX-OX	5-8
Phacu	OX	jojoba	CX	11514	0.740283	Xero-Xero	OX-CX	5-9
Phacu	OX	Pitaya	CX	10778	0.752158	Xero-Xero	OX-CX	5-10
