1-2	1-3	1-4	1-5	1-6	1-7	1-8	1-9	1-10	1-11	1-12	1-13	1-14	1-15	2-3	2-4	2-5	2-6	2-7	2-8	2-9	2-10	2-11	2-12	2-13	2-14	2-15	3-4	3-5	3-6	3-7	3-8	3-9	3-10	3-11	3-12	3-13	3-14	3-15	4-5	4-6	4-7	4-8	4-9	4-10	4-11	4-12	4-13	4-14	4-15	5-6	5-7	5-8	5-9	5-10	5-11	5-12	5-13	5-14	5-15	6-7	6-8	6-9	6-10	6-11	6-12	6-13	6-14	6-15	7-8	7-9	7-10	7-11	7-12	7-13	7-14	7-15	8-9	8-10	8-11	8-12	8-13	8-14	8-15	9-10	9-11	9-12	9-13	9-14	9-15	10-11	10-12	10-13	10-14	10-15	11-12	11-13	11-14	11-15	12-13	12-14	12-15	13-14	13-15	14-15
17762	15826	15493	14403	14383	14953	14737	14512	14346	13822	7777	5984	6038	5974	15913	15474	14362	14333	14884	14732	14506	14323	13887	7668	6043	6051	5977	15935	14466	14529	15066	15110	14819	14478	13929	7736	5978	6029	6003	14666	14639	15360	15366	15073	14669	14065	7978	6104	6203	6124	19612	16596	14454	14371	14295	13775	7692	6037	6024	5940	16530	14445	14399	14186	13733	7631	5994	6042	5966	15077	14938	14744	14058	8263	6270	6289	6243	15377	14850	14044	8000	6196	6079	6091	15887	14704	8406	6676	6680	6682	15361	8256	7329	7282	7237	7569	10165	7500	7554	6470	6513	6461	7921	7949	13048
15254	13406	13047	12140	12068	12515	12557	12275	12070	11666	4819	3697	3668	3647	13353	12938	12087	12126	12473	12471	12260	12135	11625	4759	3635	3621	3677	13393	12208	12187	12740	12761	12395	12260	11899	4946	3816	3666	3730	12352	12424	12955	12992	12587	12479	11916	5187	3873	3829	3877	16773	13820	12270	12046	11998	11610	4726	3704	3551	3647	13699	12264	12061	11906	11616	4694	3712	3596	3671	12823	12578	12342	11876	5170	3935	3822	3911	12954	12704	12082	5420	4066	3926	3939	13412	12381	5570	4329	4298	4376	12867	5334	4875	4722	4783	4687	6882	4778	4725	4063	3952	4006	4905	4948	8791
17193	15020	14515	13532	13499	13936	13869	13673	13493	12970	6954	5362	5202	5203	14864	14657	13401	13526	13895	13935	13689	13436	13023	6901	5336	5220	5245	15116	13692	13621	14235	14291	13966	13749	13222	7135	5468	5332	5471	13828	13869	14556	14645	14071	13804	13268	7358	5633	5454	5428	19037	15416	13927	13616	13497	12965	6845	5275	5228	5261	15498	13819	13563	13484	12884	6768	5237	5198	5219	14427	14044	13904	13247	7328	5531	5558	5449	14435	14132	13430	7587	5778	5558	5613	15105	13874	7858	6193	6079	6138	14490	7493	6594	6599	6648	6750	9476	6683	6719	5572	5730	5709	6858	6829	11616
11994	9870	9425	7938	7936	8622	8656	8211	7975	7412	6831	5671	5482	5547	9959	9223	7983	8039	8698	8516	8139	7982	7388	6770	5521	5540	5644	10036	8207	8320	8974	8998	8549	8218	7643	7080	5834	5821	5846	8435	8563	9345	9328	8741	8452	7692	7489	5754	5886	5907	14179	10623	8337	7962	7839	7271	6721	5496	5472	5511	10526	8333	8040	7850	7274	6726	5533	5423	5547	9140	8687	8399	7742	7451	5910	5805	5906	9190	8718	7851	7867	6038	6204	6098	9907	8581	8103	6786	6608	6676	9453	7610	7474	7420	7454	6684	10991	7598	7594	6310	6408	6358	7573	7562	12300
13322	11100	10633	9636	9620	10238	9656	9894	9791	9167	5901	4765	4822	4777	11120	10738	9634	9618	10247	9750	9830	9897	9205	5923	4762	4803	4856	11567	9419	9504	9971	10328	10311	9917	9081	5723	4654	4683	4614	9478	9479	10145	10682	10557	10062	9151	5926	4607	4559	4649	15380	12179	9206	9311	9474	9245	6252	5018	5094	5061	12279	9107	9241	9489	9117	6305	4964	5053	4913	9637	9821	9942	9557	6692	5188	5218	5288	10602	9959	8939	5751	4430	4543	4526	11265	9784	6236	5117	5071	5181	10741	6435	5777	5936	5901	6074	8640	6293	6319	5903	5941	5916	7013	7214	11967
18335	16048	15778	14682	14631	15032	15090	14818	14660	14203	7065	5407	5480	5444	16079	15748	14740	14720	15123	15124	14775	14634	14124	6995	5502	5397	5327	16229	14845	14858	15410	15423	15073	14789	14241	7247	5473	5591	5529	15066	15018	15745	15766	15291	15027	14453	7542	5643	5647	5610	20116	16598	15068	14752	14581	14183	6887	5391	5384	5340	16566	14939	14790	14508	14137	6914	5437	5440	5371	15607	15282	14868	14435	7450	5675	5637	5617	15743	15284	14602	7784	5723	5714	5789	16175	15055	8044	6199	6254	6187	15585	7598	6650	6713	6707	6900	9417	6774	6746	5740	5772	5891	6906	6950	11913
17550	15523	15158	13891	13868	14513	14320	14142	13883	13356	6614	5168	5117	5198	15465	15102	13973	14027	14494	14352	14210	14057	13446	6684	5290	5129	5239	15628	14070	14005	14743	14756	14506	14169	13519	6853	5251	5232	5256	14308	14302	15008	15013	14699	14478	13703	6922	5360	5333	5419	19586	16223	14104	14030	13889	13372	6687	5135	5150	5206	16206	14102	13946	13947	13297	6619	5145	5159	5148	14744	14570	14414	13744	7177	5412	5436	5543	15029	14685	13759	7073	5319	5384	5441	15560	14364	7554	5933	5928	6001	14941	7190	6431	6537	6629	6598	9457	6510	6707	5822	5622	5757	7002	6977	12052
12570	10185	9828	8365	8385	8977	8974	8606	8418	7693	6601	5378	5425	5365	10268	9699	8501	8506	8967	8991	8583	8384	7730	6594	5390	5430	5387	10311	8778	8804	9502	9248	8970	8639	7993	6891	5610	5539	5615	8879	8941	9717	9805	9171	8813	8050	7270	5683	5791	5647	14553	10969	8803	8489	8249	7757	6548	5266	5393	5254	10855	8756	8489	8303	7628	6493	5254	5396	5257	9612	9145	8900	8077	7244	5620	5721	5604	9534	9217	8226	7541	5818	5925	5846	10241	8917	7911	6481	6536	6532	9577	7408	7148	7091	7117	6587	10641	7305	7156	6170	6124	6052	7335	7136	12016
13369	11405	10887	9735	9758	10297	10126	9951	9903	9098	6243	5025	4887	4950	11432	10867	9681	9743	10313	10160	9913	9792	9150	6194	4958	4954	4959	11536	9941	9857	10618	10589	10346	9976	9438	6471	4998	4990	5105	10107	10228	10933	10932	10502	10247	9414	6660	5233	5208	5172	15508	11990	9993	9740	9695	9150	6303	4904	4912	4893	12026	9982	9771	9726	9110	6191	4920	5037	4946	10684	10364	10206	9513	6754	5231	5326	5283	10857	10342	9643	6965	5275	5368	5288	11481	10337	7296	5891	5750	5919	10865	6949	6557	6505	6541	6184	9449	6604	6561	5610	5444	5548	6745	6668	11549
15450	13195	12768	11428	11534	12074	12045	11545	11383	10773	7822	6243	6095	6221	13315	12710	11464	11501	12142	12038	11602	11454	10789	7813	6237	6190	6232	13311	11725	11782	12423	12368	12036	11764	10954	8118	6348	6452	6434	11939	11922	12674	12693	12271	11913	11093	8285	6548	6602	6577	17512	13904	11818	11488	11373	10739	7744	6238	6146	6216	13887	11859	11475	11297	10785	7726	6224	6251	6244	12610	12228	11891	11077	8447	6576	6584	6625	12632	12185	11376	8739	6773	6752	6646	13302	11902	9172	7300	7385	7482	12588	8593	8087	8003	8043	7604	11200	8064	8198	6920	6827	6847	8181	8331	13287
